Sentence,Predicted_Tags
/ room / night(s),"['O', 'I-RONAME', 'I-RACAT', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
grand deluxe twin,"['B-RONAME', 'I-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation before 24 jan 14:00,"['B-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1 twin bed,"['B-NIGHTS', 'I-NIGHTS', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
(5 room(s) available),"['B-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free breakfast,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free wifi,"['B-RACAT', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation,"['B-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
installment is available for credit cardholders,"['B-HOTNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 1.713.333,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 1.285.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
/ room / night(s),"['O', 'I-RONAME', 'I-RACAT', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1/5,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
36.0 sqm,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation before 24 jan 14:00,"['B-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1 king bed,"['B-NIGHTS', 'I-NIGHTS', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free breakfast,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free wifi,"['B-RACAT', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation,"['B-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
installment is available for credit cardholders,"['B-HOTNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 2.513.333,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 1.885.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
/ room / night(s),"['O', 'I-RONAME', 'I-RACAT', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
junior suite,"['B-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1/5,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
51.4 sqm,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
junior suite,"['B-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation before 24 jan 14:00,"['B-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1 king bed,"['B-NIGHTS', 'I-NIGHTS', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
(4 room(s) available),"['B-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free breakfast,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free wifi,"['B-RACAT', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation,"['B-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
installment is available for credit cardholders,"['B-HOTNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 5.980.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 4.485.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
/ room / night(s),"['O', 'I-RONAME', 'I-RACAT', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
president suite,"['B-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1/4,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
asset/dgxfoyh24ryqlrcgq00cidkhrmotrwlnlvg-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
104.0 sqm,"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
president suite,"['B-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation before 24 jan 14:00,"['B-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
1 king bed,"['B-NIGHTS', 'I-NIGHTS', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
(1 room(s) available),"['B-HOTNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free breakfast,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free wifi,"['B-RACAT', 'O', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
free cancellation,"['B-RACAT', 'I-RACAT', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
installment is available for credit cardholders,"['B-HOTNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-HOTNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 9.980.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rp 7.485.000,"['B-PR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
/ room / night(s),"['O', 'I-RONAME', 'I-RACAT', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
8.6,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
impressive,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
fantastic,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"2,565","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
very good,"['B-CATTYPE', 'I-CATTYPE', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"3,631","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
satisfying,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
610,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
average,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
683,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
show reviews that mention...,"['O', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
strategic location (262),"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
tasty breakfast (30),"['B-OCC', 'I-FPR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
complete facilities (9),"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
family friendly (3),"['B-RONAME', 'I-RONAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
varied breakfast (2),"['B-OCC', 'I-FPR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
tasty food (56),"['B-STAR', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
show reviews with photos,"['O', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
show reviews with photos,"['O', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
as,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
9.4,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
29 nov 2022,"['O', 'ENDPAD', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"this hotel is located in the heart of city, you can go for joging and walking","['O', 'O', 'ENDPAD', 'I-OCC', 'ENDPAD', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
at the park. and nice also connected to the mall. very easy to get in to it.,"['B-RNAME', 'O', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'I-RNAME', 'ENDPAD', 'ENDPAD']"
#### like this review?,"['B-STAR', 'I-CURR', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
### accommodation's reply,"['B-STAR', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
30 nov 2022,"['O', 'ENDPAD', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"dear mr. adrian, thank you for leaving positive review and appreciate our","['O', 'ENDPAD', 'ENDPAD', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
service during your recent stay at hotel ciputra semarang. we really,"['B-HOTNAME', 'I-HOTNAME', 'I-HOTNAME', 'I-HOTNAME', 'I-HOTNAME', 'I-PTYPE', 'I-PTYPE', 'I-PTYPE', 'ENDPAD', 'I-NIGHTS', 'I-NIGHTS', 'ENDPAD']"
"you back in the nearest future in other occasions. warm regards, management","['O', 'O', 'O', 'O', 'ENDPAD', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
19 nov 2022,"['O', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
pb0cg1j2bhflzgfuzooif1yobam37keuokr41ieuzm7zj/ugc-photo-ap-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"southeast-1-581603780057-acd24e232f75f09e/accommodation/249945036_accommodation_1668837269416_b5e12fc799fb62c6?_src=imagekit&tr=h-100,q-40,w-100)","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
pb0cg1j2bhflzgfuzooif1yobam37keuokr41ieuzm7zj/ugc-photo-ap-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"southeast-1-581603780057-acd24e232f75f09e/accommodation/249945036_accommodation_1668837269417_2f85d6913d72afc0?_src=imagekit&tr=h-100,q-40,w-100)","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
#### like this review?,"['B-STAR', 'I-CURR', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
### accommodation's reply,"['B-STAR', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
30 nov 2022,"['O', 'ENDPAD', 'I-PR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"dear mr. yulianto, thank you for share the moment during your recent","['O', 'ENDPAD', 'ENDPAD', 'I-CURR', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RONAME']"
occassions at hotel ciputra semarang. we really appreciate to having you as,"['B-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'ENDPAD', 'I-OCC', 'I-OCC', 'I-OCC', 'I-OCC', 'I-RONAME', 'I-RONAME', 'ENDPAD']"
our loyal guest. we would be grateful to welcoming you back in the nearest,"['B-STAR', 'I-CURR', 'I-CURR', 'I-RONAME', 'I-RONAME', 'I-OCC', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'I-RONAME', 'ENDPAD']"
"future in other occasions. warm regards, management and team","['O', 'O', 'I-RNAME', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'I-OCC', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
rh,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
9.7,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
26 sep 2022,"['B-STAR', 'ENDPAD', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
pb0cg1j2bhflzgfuzooif1yobam37keuokr41ieuzm7zj/ugc-photo-ap-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"southeast-1-581603780057-acd24e232f75f09e/accommodation/5951447_accommodation_1664194786202_15b3626333183a42?_src=imagekit&tr=h-100,q-40,w-100)","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
pb0cg1j2bhflzgfuzooif1yobam37keuokr41ieuzm7zj/ugc-photo-ap-,"['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
"southeast-1-581603780057-acd24e232f75f09e/accommodation/5951447_accommodation_1664194786202_ae4b31dd4cc8ed2e?_src=imagekit&tr=h-100,q-40,w-100)","['B-STAR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
#### like this review?,"['B-STAR', 'I-CURR', 'I-CURR', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD', 'ENDPAD']"
